replication_number,random_seed,completed_jobs,average_wait_time,average_turnaround_time,throughput_jobs_per_hour
1,1001,63,396.7049288954812,437.77832259510774,0.026170193689980276
2,1002,63,82.22135748242016,158.33827246817438,0.0167865812077614
3,1003,63,521.0960172854549,645.0227831409579,0.008402452445076999
4,1004,63,3693.7727695327912,3822.579674561641,0.008143675739779074
5,1005,63,117.1285985457458,152.55156506513927,0.031052612598370877
6,1006,63,7.401737904779933,19.70391787397945,0.060423926596118796
7,1007,63,27.436413736803345,72.85135248859146,0.025644967726438064
8,1008,63,5145.045369337429,5626.630225191555,0.004066467335270109
9,1009,63,2313.6227322321215,2482.5704474912936,0.007026177975330023
10,1010,63,566.5855620406057,611.377413103901,0.025643961443933442
11,1011,63,835.1290011018496,885.9991038814693,0.02314456272700492
12,1012,63,380.9723561301345,554.0395891552961,0.0065054120921322536
13,1013,63,1912.9382861052927,2002.3183091382086,0.011845701554002771
14,1014,63,94.34821879697876,135.28631518250302,0.023131716153036497
15,1015,63,1314.6273396076217,1443.2349759956396,0.00757345044799564
16,1016,63,590.0614987490533,661.5815798407201,0.019374368431489906
17,1017,63,108.0610876729228,130.6165323884523,0.056427082207466624
18,1018,63,54.33006192987702,74.77903870744548,0.04132790597015076
19,1019,63,2.573006700198147,16.056404822459882,0.053252937364402245
20,1020,63,85.5435191579769,98.7793923673587,0.0456974298218042
21,1021,63,48.2133669222143,65.47456629768443,0.06061772346771866
22,1022,63,2767.242131503534,2879.3040664064924,0.011251390100383283
23,1023,63,57.79781829049926,84.90422323390281,0.03351345702039257
24,1024,63,57.29827968313297,94.9589511705925,0.04337715648060594
25,1025,63,47.37225199620683,65.40456296382526,0.05101798220260659
26,1026,63,1224.79193109094,1264.243482031186,0.024861844854116334
27,1027,63,2.934128021609134,114.3201205293581,0.009287439383959095
28,1028,63,5098.691184541347,5257.495050598177,0.006242058085158452
29,1029,63,33.6296656504802,51.41480832004449,0.05923836389280677
30,1030,63,1351.7256196162805,1393.568577218689,0.023947500310627007
